Villa, Date,Forecast,CI Lower (30%),CI Upper (30%)
Istana Semer Expenses, 2025-06-01,150887386.31349534,105621170.41944674,196153602.20754394
Istana Semer Expenses, 2025-07-01,151961489.0954252,106373042.36679763,197549935.82405275
Istana Semer Expenses, 2025-08-01,150309984.28672236,105216989.00070566,195402979.57273906
Istana Semer Expenses, 2025-09-01,150101230.91596437,105070861.64117506,195131600.19075367
Istana Semer Expenses, 2025-10-01,149963797.1833675,104974658.02835724,194952936.33837774
Istana Semer Expenses, 2025-11-01,150280879.7792812,105196615.84549683,195365143.71306556
Istana Semer Expenses, 2025-12-01,155075000.83504847,108552500.58453393,201597501.085563
Istana Semer Expenses, 2026-01-01,162717614.22018728,113902329.9541311,211532898.48624346
Istana Semer Expenses, 2026-02-01,154950616.34047538,108465431.43833277,201435801.242618
Krtajna Expenses, 2025-03-01,46241772.009152524,32369240.406406768,60114303.61189828
Krtajna Expenses, 2025-04-01,46287880.510358274,32401516.357250795,60174244.66346575
Krtajna Expenses, 2025-05-01,46349846.62275907,32444892.635931347,60254800.60958679
Krtajna Expenses, 2025-06-01,46429729.02984451,32500810.320891157,60358647.73879786
Krtajna Expenses, 2025-07-01,46529178.10373629,32570424.6726154,60487931.534857176
Krtajna Expenses, 2025-08-01,46649298.07825115,32654508.654775806,60644087.5017265
Krtajna Expenses, 2025-09-01,46790739.83728263,32753517.88609784,60827961.788467415
Krtajna Expenses, 2025-10-01,46953840.48619474,32867688.340336315,61039992.63205316
Krtajna Expenses, 2025-11-01,47138745.79700118,32997122.05790083,61280369.536101535
Krtajna Expenses, 2025-12-01,47345499.36393987,33141849.554757908,61549149.173121825
Krtajna Expenses, 2026-01-01,47574100.450347595,33301870.31524332,61846330.58545187
Krtajna Expenses, 2026-02-01,47824537.94659061,33477176.562613428,62171899.33056779
Matahari Expenses, 2025-03-01,30770165.772435486,21539116.04070484,40001215.50416613
Matahari Expenses, 2025-04-01,29217968.38656101,20452577.870592706,37983358.902529314
Matahari Expenses, 2025-05-01,29535014.875494137,20674510.412845895,38395519.33814238
Matahari Expenses, 2025-06-01,30498600.116249777,21349020.081374846,39648180.15112471
Matahari Expenses, 2025-07-01,31317134.84108055,21921994.388756387,40712275.29340471
Matahari Expenses, 2025-08-01,32667365.17765276,22867155.624356933,42467574.73094859
Matahari Expenses, 2025-09-01,34298263.806804225,24008784.66476296,44587742.94884549
Matahari Expenses, 2025-10-01,33970230.47980785,23779161.335865498,44161299.62375021
Matahari Expenses, 2025-11-01,35343299.73503624,24740309.814525366,45946289.65554711
Matahari Expenses, 2025-12-01,37757727.26483245,26430409.085382715,49085045.44428219
Matahari Expenses, 2026-01-01,37257094.18858358,26079965.93200851,48434222.44515866
Matahari Expenses, 2026-02-01,38980062.74963126,27286043.924741887,50674081.57452064
Reina Expenses, 2025-03-01,29770415.104689494,20839290.573282644,38701539.63609634
Reina Expenses, 2025-04-01,30001239.207952935,21000867.445567057,39001610.970338814
Reina Expenses, 2025-05-01,30784872.175597616,21549410.52291833,40020333.8282769
Reina Expenses, 2025-06-01,32239706.776481338,22567794.743536934,41911618.80942574
Reina Expenses, 2025-07-01,34154231.821477145,23907962.275034003,44400501.36792029
Reina Expenses, 2025-08-01,35981984.862170696,25187389.40351949,46776580.3208219
Reina Expenses, 2025-09-01,37052983.53078336,25937088.471548356,48168878.59001837
Reina Expenses, 2025-10-01,37141708.581425786,25999196.00699805,48284221.155853525
Reina Expenses, 2025-11-01,36234556.98656552,25364189.89059587,47104924.08253518
Reina Expenses, 2025-12-01,34888168.46453058,24421717.925171405,45354619.003889754
Reina Expenses, 2026-01-01,33785545.8705861,23649882.10941027,43921209.63176192
Reina Expenses, 2026-02-01,33469630.128076237,23428741.089653365,43510519.16649911
The Backyard Bingin Expenses, 2025-03-01,125130517.4840826,87591362.23885782,162669672.72930735
The Backyard Bingin Expenses, 2025-04-01,124043793.25373279,86830655.27761295,161256931.22985262
The Backyard Bingin Expenses, 2025-05-01,114429787.95800906,80100851.57060635,148758724.34541178
The Backyard Bingin Expenses, 2025-06-01,119112987.78689355,83379091.45082548,154846884.1229616
The Backyard Bingin Expenses, 2025-07-01,124409311.28516787,87086517.89961752,161732104.67071822
The Backyard Bingin Expenses, 2025-08-01,124269068.28448632,86988347.79914042,161549788.76983222
The Backyard Bingin Expenses, 2025-09-01,116742975.92877601,81720083.1501432,151765868.70740882
The Backyard Bingin Expenses, 2025-10-01,114186558.31719002,79930590.82203302,148442525.81234702
The Backyard Bingin Expenses, 2025-11-01,91894623.28150909,64326236.29705636,119463010.26596181
The Backyard Bingin Expenses, 2025-12-01,120532815.24328871,84372970.6703021,156692659.81627533
The Backyard Bingin Expenses, 2026-01-01,113367403.95296949,79357182.76707864,147377625.13886034
The Backyard Bingin Expenses, 2026-02-01,112565481.56781071,78795837.09746751,146335126.03815392
